id,tweet,retweetCount,isRetweetedByMe,favCount,date
,平成27年12月20日日曜日、ラーメン二郎 環七新新代田店、小(スープ無し)+U.S.Nダブル+なまたまご+なまたまご+デスウズラ1100YEN<n>U.S.Nとはウスターソース肉入り。肉たっぷりのボロネーゼ味で満足度MAXッ！<n>完飲。 https://t.co/zHYTKvDVWY,517,false,456,2015/12/20 16:01:08
,平成27年12月19日土曜日、ラーメン二郎 湘南藤沢店、ラーメン+生卵+生卵 ニンニク 790YEN<n>麺、小麦詰まった感じの麺が柔らか茹で加減でウンメ〜ッ！<n>汁、スッキリ澄んだ優しい味わいニンニク溶けてウマい汁。<n>完飲。 https://t.co/4S1nrgvRVe,426,false,448,2015/12/19 18:00:06
,平成27年12月18日金曜日、ラーメン二郎 京急川崎店、大ラーメン ニンニク 830YEN<n>麺、プルックニュッやっわらけ〜ッ！夢中で啜る。<n>汁、甘っめェェッ！最ッ高にウンメ〜ッ！<n>ブタ、ミッチリ美味なるもの。<n>完飲。ごっそさんです。 https://t.co/qW6yRd26YP,501,false,463,2015/12/18 22:56:16
,平成27年12月17日木曜日、ラーメン二郎 西台駅前店、ラーメン+味噌+白ネギ+味付うずら+生卵+生卵 ニンニク1100YEN<n>汁、ウンメ〜ッ！カレー風味感じない旧ヴァージョンのような俺好みのもの。偶々なのかな？推移見守りつつ完飲。 https://t.co/hAS43Iar2R,500,false,451,2015/12/17 21:52:52
,平成27年12月16日水曜日、ラーメン二郎 府中店、大ラーメン ニンニクカラメ 800YEN<n>麺、茹で加減俺好み。極太でプルンと踊るもの。<n>汁、今日のはいささか薄めなもののカラメいい仕事しててGOOD。<n>ブタ、ホロブタ。<n>完飲。 https://t.co/iw712FKEin,586,false,514,2015/12/16 22:15:42
,平成27年12月16日水曜日、味仙JR名古屋駅店、台湾ラーメンイタリアン+台湾ラーメン 1512YEN<n>名古屋駅に味仙出来た。台湾ラーメン喰って帰れる。嬉しい。イタリアンとノーマルの味比べ。スッキリと辛くてウンメ〜ッ！<n>完飲。 https://t.co/ozbcJtKch5,1354,false,826,2015/12/16 16:20:43
,平成27年12月15日火曜日、ラーメン二郎 品川店、小+煮玉子+煮玉子 ニンニク 900YEN<n>麺、ザクザク貪るウンメ〜ッ！<n>汁、ウマ味に奮える。ニンニク溶けてもっと奮える！煮玉子溶けて超奮える！！<n>ブタ、味染みてて俺好み。<n>完飲。 https://t.co/NzcWgVfoE1,465,false,429,2015/12/15 20:25:39
,平成27年12月14日月曜日、ラーメン二郎 三田本店夜の部、ぶた入り大ラーメン ニンニク 750YEN<n>麺、デロとしてウッメェッ！<n>汁、ウマ味たっぷりウッメェッ！<n>野菜、クタとしてウッメェッ！<n>ブタ、しっとりウッメェッ！<n>完飲。 https://t.co/k8QWssEdV3,1141,false,908,2015/12/14 21:38:51
,平成27年12月13日日曜日、ラーメン二郎 府中店、大ラーメン ニンニクアブラカラメ 800YEN<n>臨営の府中に行った。<n>麺、グミとした府中ならではの噛み応え愉しむ。<n>汁、ウッメェェッ！増したアブラカラメでウマさ10倍ッ！<n>完飲。 https://t.co/7NtujRLSIj,637,false,594,2015/12/13 20:27:53
,平成27年12月12日土曜日、大島 江戸川区船堀、味噌+ライス 900YEN<n>汁、まろやかで甘い俺好みの味噌味でウンメ〜ッ！シメはライス投入しておじやで喰う。最ッ高に合う〜！<n>完飲。 https://t.co/neDCKvqVDA,610,false,600,2015/12/12 19:23:22
,平成27年12月12日土曜日、ラーメン二郎環七一之江店、汁なし大盛ラーメン+ブタ増し+味付玉子+生卵+生卵 全部1050YEN<n>クニュ麺にゴロとしたブタ大満足<n>混然を貪りゃウンメ〜ッ止まんない<n>神域ィ！玉子加えてズルと喰う<n>完飲。 https://t.co/Buf4ET0WZ3,611,false,498,2015/12/12 18:06:30
,平成27年12月11日金曜日、ラーメン二郎 札幌店、小+TARO+紅葉卸し+生姜+生卵+生卵 ニンニク 1000YEN<n>TARO、なまらウッメェェッ！！<n>辛味と酸味利いた俺好みの汁が、麺に染みてヤサイに絡んで堪らなくウマい！<n>完飲。 https://t.co/OK3edm48ad,732,false,569,2015/12/11 14:11:22
,平成27年12月10日木曜日、ラーメン二郎 札幌店、小+紅葉卸し+生姜+生卵+生卵 ニンニク 900YEN<n>汁、ウンメ〜ッ！味濃くてコクウマな汁。<n>ブタ、ぶ厚くて柔らか、味染みててマイウ〜ッ！生姜乗せて喰うと最ッ高にウマい。<n>完飲。 https://t.co/Vf7q4SBMzN,576,false,475,2015/12/10 21:50:32
,平成27年12月9日水曜日、ラーメン二郎 札幌店、小+紅葉卸し+生卵+生卵 ニンニク 850YEN<n>麺、プルん柔らか味染みてて、なまら俺好みのもの。<n>紅葉卸し、麺に絡めて啜ればピリ辛ウンメ〜ッ！適度に冷めてガツガツ貪れる。<n>完飲。 https://t.co/b9uDU9rxd7,963,false,653,2015/12/09 23:28:46
,平成27年12月8日火曜日、ラーメン二郎 桜台駅前店、小ラーメン+生たまご+生たまごニンニク 800YEN<n>麺、ウッメェェッ！ムッチクニュと食感極めたもの。最ッ高に俺好みのもの。<n>汁、トロンと濃厚、ミルキィでまろやかな汁。<n>完飲。 https://t.co/jqbW4zi8o2,510,false,463,2015/12/08 23:57:28
,平成27年12月7日月曜日、ラーメン二郎 西台駅前店、大ラーメン+味噌+青ネギ+味付うずら+生卵+生卵 ニンニク 1150YEN<n>麺、アッツアツ！<n>汁、ほお、ウマい。味噌感じた後スパイシー。<n>ブタ、生姜乗せて喰うウンメ〜ッ！<n>完飲。 https://t.co/hnibaZSp4h,609,false,570,2015/12/07 23:07:34
,平成27年12月6日日曜日、ラーメン二郎 横浜関内店、大ぶた+ネギ+味つけ玉子ニンニク1020YEN<n>神域ィ！！<n>味染み至高、ザクザク麺。<n>ネギの香味溶け出た甘ウマ汁。<n>フアフアトロトロ柔らかぶた。<n>人智超えたウマさに奮える。完飲。 https://t.co/lIJlDK92mn,1107,false,918,2015/12/06 20:17:03
,平成27年12月5日土曜日、ラーメン二郎 三田本店夜の部、ぶた入り大ラーメン ニンニク750YEN<n>総帥が見守りつつ、助手氏麺上げ。<n>麺、ギッシリと詰まったカタめ食感の麺。<n>汁、決壊した汁がポーチに流れ込むハプニング発生。<n>完飲。 https://t.co/ZXI0i37szF,1111,false,853,2015/12/05 20:03:51
,平成27年12月5日土曜日、ラーメン二郎神田神保町店、小豚+生卵+生卵 ニンニク900YEN<n>麺、ザクザク喰える麺、俺好みの味染み感。液体アブラ絡んでウッメェェッ！<n>汁、ウマ味押し寄せるもの。<n>ブタ、肉喰う幸せ夢中で頬張る。<n>完飲。 https://t.co/4l2CBbirII,659,false,517,2015/12/05 12:15:13
,平成27年12月4日金曜日、ラーメン二郎神田神保町店、小豚+生卵+生卵 ニンニク900YEN<n>麺、やっわらけェェッ！究極に俺好みの神域麺。<n>ブタ、肉の味ウッメェェッ！しっとりしたもの。<n>汁、卓上唐辛子合い過ぎィ！夢中で貪る。<n>完飲。 https://t.co/msFkiXIhq9,568,false,475,2015/12/04 22:20:45
,平成27年12月3日木曜日、ラーメン二郎 仙台店、小豚ラーメン+生卵+生卵 ニンニク 890YEN<n>麺、ムッチプリな踊る食感のもの。<n>汁、ウマ過ぎィ！飲めば飲むほど飲みたくなる永久機関なミルキィ汁！<n>ブタ、脂身甘ブタ好きィ！<n>完飲。 https://t.co/MFKLdP6bxg,846,false,687,2015/12/03 13:48:22
,平成27年12月2日水曜日、ラーメン二郎 仙台店、小ラーメン+生卵+生卵 ニンニク 790YEN<n>麺、柔らかめな仕上がり味染みまくりの俺好み。<n>汁、ウッメェェッ！濃厚な味わいのミルキィ汁。<n>ブタ、脂身甘くてメッチャ俺好み。<n>完飲。 https://t.co/YXgbPEbRVO,688,false,506,2015/12/02 21:45:43
,平成27年12月2日水曜日、ラーメン二郎 仙台店、小豚ラーメン+生卵+生卵 ニンニク 890YEN<n>麺、ムッチプリな食感のもの。<n>汁、甘くてウンメ〜ッ！ミルキィな汁にウマ味利いたもの。<n>ブタ、柔らかくて脂身甘いもの。<n>完飲。 https://t.co/xGdv90yy4g,723,false,561,2015/12/02 13:41:30
,平成27年12月1日火曜日、ラーメン二郎 環七新新代田店、小豚+なまたまご+なまたまご+デスウズラ黄&青+ゴマグラインド 1100YEN<n>デスウズラ黄、チリのウマ味感じるもの。<n>デスウズラ青、刺すような辛味が爽快なもの。<n>完飲。 https://t.co/6VLID77mhJ,669,false,491,2015/12/01 21:55:57
,平成27年11月30日月曜日、ラーメン二郎 西台駅前店、大ラーメン+油そば+白ネギ+味付うずら+生卵+生卵 ニンニク1150YEN<n>油纏った麺、口どけ優しい。<n>塩気利いた汁、玉子溶かしてウマい。<n>味染みたブタ、神域のもの。<n>完飲。 https://t.co/sJBENjoxDB,601,false,510,2015/11/30 23:34:00
,平成27年11月29日日曜日、ラーメン二郎大宮店、大ラーメン+味付ウズラ+味付ウズラ かんずりアブラカラメ 1000YEN<n>麺、今日の麺、メッチャ味染みててウッメェェッ！<n>汁、二郎汁とかんずりの相性バツグン！夢中で飲んだ。<n>完飲。 https://t.co/oPw9PfQFGo,608,false,514,2015/11/29 16:25:37
,平成27年11月28日土曜日、ラーメン二郎 京成大久保店、大ブタ ニンニク 900YEN<n>麺、クニュとした食感の麺ウマ過ぎィ！夢中で貪る。<n>汁、味噌もウマいがノーマルもウッメェェッ！<n>トロンと濃厚、ミルキィで奮える味わい。<n>完飲。 https://t.co/KqVxgvCACA,682,false,507,2015/11/28 18:49:55
,平成27年11月27日金曜日、ラーメン二郎 小岩店、大ラーメン+豚増し券 ニンニク 950YEN<n>麺、ムチとした食感の麺が堪らなく好き。<n>汁、神域ィ！飲む以外の選択肢不要なもの。<n>ブタ、塩気強めな俺好みのブタがゴロっと。<n>完飲。 https://t.co/p9qlpYj5LO,531,false,443,2015/11/27 20:22:32
,平成27年11月26日木曜日、ラーメン二郎 西台駅前店、大ラーメン+油そば+白ネギ+味付うずら+生卵+生卵 ニンニク1150YEN<n>テロンと柔らか西台麺に、油まとって味染みてウッメェェッ！<n>アッツアツをハフハフしながら貪る。<n>完飲。 https://t.co/hwYbFFWZZK,648,false,557,2015/11/26 23:36:21
,平成27年11月25日水曜日、ラーメン二郎新宿小滝橋通り店、大盛ぶた入りラーメン ニンニク 1000YEN<n>麺、ツルとした食感、柔らかく煮込まれた小滝麺。汁染みててウンメ〜ッ！<n>ぶた、歯応えあるミッチリした食感のもの。<n>完飲。 https://t.co/Q2NnlObVZM,484,false,420,2015/11/25 21:38:14
,平成27年11月24日火曜日、ラーメン二郎 京成大久保店、味噌ラーメン ニンニク 800YEN<n>麺、ウッメェェッ！デロンとしてトロけるもの。味噌染みてて最ッ高にウマい。<n>汁、甘んめ〜ッ！味噌と幾つかの香味利いた超俺好みな汁。<n>完飲。 https://t.co/d8oRxsUh7P,675,false,546,2015/11/24 22:45:30
,平成27年11月23日月曜日、ラーメン二郎ひばりヶ丘駅前店、ラーメン ニンニク700YEN<n>麺、柔らかな仕上がり、俺好み。<n>汁、ウンメ〜ッ！メッチャ濃厚、課長と醤油利いたひばり汁。<n>ブタ、ふあっふあでほどける食感、至高ブタ。<n>完飲。 https://t.co/GFcNPO3P3C,675,false,541,2015/11/23 15:23:57
,平成27年11月22日日曜日、ラーメン二郎八王子野猿街道店2、小ラーメン(辛いの)+レジェンド ニンニク少 930YEN<n>麺、辛汁染みててウンメ〜！ザクザク貪る。<n>汁、辛いのウマ過ぎィ！山椒爽やか食欲MAXッ、夢中で飲んだ。<n>完飲。 https://t.co/CcRxlKYNxe,690,false,556,2015/11/22 17:46:41
,平成27年11月21日土曜日、ラーメン二郎神田神保町店、小豚+生卵+生卵 ニンニク900YEN<n>麺、サクとして味染みたもの。<n>汁、ウッメェェッ！肉のウマ味とアブラの甘み利いたもの。卓上唐辛子合い過ぎィ！ピリ辛汁貪り飲んだ。<n>完飲。 https://t.co/qG4PhmNZ6a,471,false,395,2015/11/21 16:47:53
,平成27年11月20日金曜日、ラーメン二郎 三田本店夜の部、ぶたダブル大ラーメン ニンニク850YEN<n>麺、デロと柔らか。<n>汁、醤油バッチリ利いた、スッと身体に沁みる汁。<n>ぶた、柔らかいものゴッロゴロ。肉を頬張る幸せ堪能。<n>完飲。 https://t.co/H5VPgNfQXu,464,false,384,2015/11/20 22:56:21
,平成27年11月19日木曜日、ラーメン二郎上野毛店、大ラーメン+味付玉子+生卵+生卵+缶ウーロン茶 ニンニクアブラカラメ1050YEN<n>麺、ムチとしたもの。<n>汁、一口で完飲確定した。マシたアブラカラメ利いて最ッ高にウマい汁。<n>完飲。 https://t.co/8DenQwOtbM,642,false,519,2015/11/19 22:32:22
,平成27年11月18日水曜日、ラーメン二郎 千住大橋駅前店、大ラーメン+生たまご+生たまご ニンニク 900YEN<n>麺、千住では久々のデロ。デロ麺が丼に詰まってるぅ！<n>興奮で手奮えつつ麺啜る。<n>味メッチャ染みてるぅぅッ！！<n>完飲。 https://t.co/zEnoc5koxx,648,false,563,2015/11/18 21:13:50
,平成27年11月17日火曜日、ラーメン二郎 西台駅前店、大ラーメン+油そば+白ネギ+味付うずら+生卵+生卵 ニンニク1150YEN<n>天地してタレ絡んだ麺啜る。ウンメ〜ッ！塩気利いたタレに玉子落としてウマさ極まり思わず飲んだ。<n>完飲。 https://t.co/cW296HYu8m,582,false,513,2015/11/17 22:35:50
,平成27年11月16日月曜日、ラーメン二郎 三田本店夜の部、ぶた入り大ラーメン ニンニク750YEN<n>麺、あらゆるデロの中でも至上のデロ。究極の食感、味染みた麺をズルと吸い込む。<n>ウッメェェッ！！丼カラになるまで貪り続けた。<n>完飲。 https://t.co/DDSPHIWp48,677,false,522,2015/11/16 22:35:30
,平成27年11月15日日曜日、ラーメン二郎新小金井街道店、小ラーメン+ウズラ+かつお魚粉 ニンニク 930YEN<n>味玉売り切れ！無念ッ！<n>麺、ウンメ〜ッ！ムチとした俺好みの柔らかさ。<n>汁、液体アブラと魚粉が合わさり夢中味。<n>完飲。 https://t.co/qRXRjxxPtA,591,false,459,2015/11/15 17:20:03
,平成27年11月14日土曜日、ラーメン二郎 赤羽店．大豚ラーメン ニンニク 900YEN<n>麺、ウマ過ぎィ！！クニュプリとしたパネェ麺。<n>汁、ウッメェェッ！甘みとコクのパネェ汁。<n>ブタ、ホロとしてしっとり柔らかパネェブタ。<n>完飲。 https://t.co/eH35kvn14a,782,false,604,2015/11/14 20:11:04
,平成27年11月13日金曜日、ラーメン二郎 京成大久保店、味噌ラーメン ニンニク 800YEN<n>麺、クニュとしてウッメェェッ！！<n>汁、コレ好きィッ！！甘くてまろやかヤサイにメッチャ合う！<n>ブタ、濃い味染みててたまんね〜ッ！<n>完飲。 https://t.co/xJZaohwR2d,727,false,578,2015/11/13 17:50:25
,平成27年11月12日木曜日、ラーメン二郎 JR西口蒲田店、大ブタ ニンニクトウガラシ 930YEN<n>麺、モソとした食感、俺好み。<n>汁、ふとした瞬間、鶴見の面影感じるもの。塩気利いてウンメ〜。<n>ブタ、脂身甘い柔らかブタ。<n>完飲。 https://t.co/gXMQQVMBeP,501,false,395,2015/11/12 23:25:12
,平成27年11月11日水曜日、ラーメン二郎 桜台駅前店、小ラーメン+生たまご+生たまごニンニク 800YEN<n>麺、ムチとして汁染みたもの。<n>汁、ウンメェェッ！思わず声出そうになった。ミルキィでまろやか、醤油加減極めた神域汁。<n>完飲。 https://t.co/MBvlGZMmEu,529,false,442,2015/11/11 23:47:13
,平成27年11月10日火曜日、ラーメン二郎 赤羽店．大ラーメン ニンニク 800YEN<n>麺、クニュッ！プルンッ！考え得る最ッ高の食感、奮え無しには啜れない、神域のもの。<n>汁、甘みと醤油利いたコクウマ汁。<n>ブタ、ほぐれるもの。<n>完飲。 https://t.co/Avx27h2Qhp,580,false,456,2015/11/10 20:59:12
,平成27年11月9日月曜日、ラーメン二郎 西台駅前店、小ラーメン+青ネギ+味付うずら+生卵+生卵 ニンニク1000YEN<n>汁、ウンメ〜ッ。肉のウマ味良く出たもの。<n>青ネギ散らして玉子落とせば、至高汁。<n>ウ、ウマ過ぎィ！<n>完飲。 https://t.co/u1r20gbSkm,598,false,463,2015/11/09 22:33:13
,平成27年11月9日月曜日、ラーメン二郎 新潟店、ラーメン小ぶた入り ニンニク 850YEN<n>麺、ムチムチ麺に味染みててウンメ〜ッ！<n>汁、ミルキィで醤油利いたもの。<n>ぶた、どっさり。頬張ると肉のウマ味を感じるもの。<n>完飲。 https://t.co/0FT49ZN4y7,941,false,651,2015/11/09 18:38:48
,平成27年11月8日日曜日、杭州飯店 新潟県燕市、チャーシュー麺+ネギ増し 1050YEN<n>麺、デロとしてウッメェェッ！<n>汁、煮干し強めに利いててメッチャ食欲湧く、チャッチャ脂甘んめ〜！<n>汁に浸ったタマネギウンメ〜。<n>完飲。 https://t.co/Ak2cJJa5xG,681,false,538,2015/11/09 03:59:04
,平成27年11月8日日曜日、青島食堂 司菜 南万代店、青島チャーシュー麺+ メンマ50円増し+ネギ50円増し 920YEN<n>薄造りなチャーシューがどっさり。脂トロけてウマ〜。<n>濃いめな醤油味に生姜の風味感じて俺好みっ！<n>完飲。 https://t.co/92G9zmnVVy,528,false,394,2015/11/09 03:50:40
,平成27年11月8日日曜日、ラーメン二郎 新潟店、ラーメン小 ニンニク 700YEN<n>祝ッ！新潟に二郎降臨すッ！<n>麺、ムチとして俺好みのもの。<n>汁、ニンニク溶けてウマいミルキィ汁。<n>ブタ、大ぶりなもの。<n>ヤサイ、ホックホク。<n>完飲。 https://t.co/XX4UGbD7vp,1412,false,970,2015/11/09 03:44:43
,平成27年11月7日土曜日、ラーメン二郎 三田本店、ぶた入り大ラーメン ニンニク 750YEN<n>ブタ、味メッチャ染みた端ブタゴロンッ！脂身トロンッ！肉ホロッ！ウッメェェェッ！！<n>ブタ増しの判断下した俺を褒めてあげたいもの。<n>完飲。 https://t.co/cjjIy0fTJv,673,false,558,2015/11/07 15:03:30
,平成27年11月6日金曜日、ラーメン二郎 歌舞伎町店、普通盛+煮玉子ヤサイニンニク800YEN<n>麺、適度に柔らかツルとした舌触り、よく味染みたもの。<n>汁、ウッメェェッ！<n>ミルキィで俺好みの醤油加減、モヤシに超絶合う歌舞伎汁。<n>完飲。 https://t.co/197vqogj9E,539,false,423,2015/11/06 23:09:56
,平成27年11月5日木曜日、ラーメン二郎 三田本店夜の部、ぶた入り大ラーメン ニンニク 750YEN<n>麺、デロとしたもの。味染みてて極めて俺好みなもの。<n>ブタ、脂身プルンッ！<n>汁、ウッメェェェッ！肉のウマ味爆発してるもの。<n>完飲。 https://t.co/lb1wRlJFVZ,528,false,389,2015/11/05 23:40:31
,平成27年11月4日水曜日、ラーメン二郎 品川店、小ブタ+煮玉子+煮玉子 ニンニク 1000YEN<n>麺、ムッチとしてザクッと喰えるもの。<n>ブタ、味メッチャ染みたもの。<n>汁、安定のウマさ。<n>煮玉子、黄身が汁に溶けてウンメ〜！<n>完飲。 https://t.co/te1EtZql0S,350,false,323,2015/11/04 23:09:06
,平成27年11月3日火曜日、ラーメン二郎新小金井街道店、小ラーメン+辛いの+ウズラ+味玉+味玉 ニンニク少 980YEN<n>味玉お値打ち50YEN、思わず2個購入！<n>辛いの、ウッメェェッ！唐辛子のウマ味が食欲マシマシするもの。<n>完飲。 https://t.co/kSCrKvHs4N,468,false,416,2015/11/03 17:15:02
,平成27年11月2日月曜日、ラーメン二郎 西台駅前店、とりそば(塩)+味付うずら+白ネギ+生卵+生卵 900YEN<n>平日昼限定とりそばの塩を頂く。<n>滋味溢れる味わい。海苔がメッチャ合う。<n>とりチャーシュー最ッ高にウンメ〜ッ！<n>完飲。 https://t.co/OBkBLAjqHx,418,false,364,2015/11/02 21:07:34
,平成27年11月1日日曜日、ラーメン二郎 横浜関内店、大ぶた+味つけ玉子 ニンニク920YEN<n>麺、パツとして味染みたザクザク喰えるもの。<n>汁、甘み利いた思わず飲んでしまう汁。<n>ぶた、ウンメ〜！メッチャ柔らか脂身甘〜いぶた。<n>完飲。 https://t.co/Gvrfgvjlqx,525,false,434,2015/11/01 23:07:32
,平成27年10月31日土曜日、ラーメン二郎 亀戸店、ラーメン+汁なし+味玉+生卵+生卵 ニンニクアブラ990YEN<n>濃いめなタレに、増したアブラの甘み加わり、ウッメェッ！<n>タレと具と玉子ニンニク混然汁、<n>ウマいウマいと貪り完飲。 https://t.co/zJ0ZhQuwgK,416,false,378,2015/10/31 23:36:05
,平成27年10月31日土曜日、ラーメン二郎神田神保町店、ラーメン+生卵+生卵 ニンニク800YEN<n>面前でブタ売り切れ。思わず号泣。<n>麺、ザクザク喰える麺。汁染み感極まりウンメ〜。<n>汁、卓上唐辛子メッチャ合う。ウマさ爆発ッ！<n>完飲。 https://t.co/WEMpAbVlp1,660,false,454,2015/10/31 16:08:23
,平成27年10月30日金曜日、ラーメン二郎 亀戸店、ラーメン+味玉+生卵+生卵 ニンニクアブラ890YEN<n>亀汁にアブラ増したらPAPP汁。<n>メッチャ甘んめ〜恍惚の汁。<n>亀汁に玉子溶かせば玉子汁。<n>メッチャウンメ〜神域の汁。<n>完飲。 https://t.co/dMizAuIufs,585,false,474,2015/10/30 23:56:39
,平成27年10月29日木曜日、ラーメン二郎 三田本店夜の部、ぶた入り大ラーメン ニンニク 750YEN<n>麺、ウッメェェッ！汁染みまくりのデッロデロ。<n>口に含めば、ふあとほどけるメルティ麺。<n>ヤサイ、ブタと一緒に頬張る。幸せ！<n>完飲。 https://t.co/6uRDgzoIOZ,463,false,390,2015/10/29 22:32:08
,平成27年10月28日水曜日、ラーメン二郎 三田本店夜の部、ぶた入り大ラーメン ニンニク 750YEN<n>ブタプリリ、デロデロな麺、クタヤサイ。<n>麺、ブタ、ヤサイ、汁、温度。すべて俺好み。感動で丼持つ手、奮え出す。<n>完飲。 https://t.co/yjMoSChJck,727,false,533,2015/10/28 23:32:43
,平成27年10月27日火曜日、ラーメン二郎 仙川店、ラーメン ニンニクアブラカラメ 700YEN<n>大ぶりなブタ、食いごたえあり。<n>アブラの甘みと醤油利いたアツアツ汁、一味天空落として啜る。うん、ウマい！<n>俺好みの醤油味。<n>完飲。 https://t.co/GpwJQpUvZv,490,false,424,2015/10/27 22:16:41
,平成27年10月26日月曜日、ラーメン二郎 三田本店夜の部、ぶた入り大ラーメン ニンニク 750YEN<n>ブタ、プリップリの食感、究極ブタ。<n>麺、デッロデロ、口溶け優しい至高麺。<n>汁、ウッメェと思わず叫ぶ神域汁。<n>完飲。 https://t.co/4C9l7G5VW2,508,false,428,2015/10/26 21:59:30
,平成27年10月25日日曜日、ラーメン二郎 環七新新代田店、小豚+なまたまご+なまたまご+うずら+うずら+チャンポン 1150YEN<n>チャンポンは練り物とヤサイ、コーンが入ったチャンポン風味の和え物。麺のお供にGOODッ！<n>完飲。 https://t.co/YmZK0kR0Ei,381,false,330,2015/10/25 18:52:52
,平成27年10月24日土曜日、ラーメン二郎大宮店、大ラーメン+味付ウズラ+味付ウズラ ニンニク生姜 1000YEN<n>麺、モチモチツルツル味染みててウンメ〜ッ！<n>汁、醤油利いたウマ味良く出たもの。<n>ウズラ、塩気強くてウマし。<n>完飲。 https://t.co/d3aHZxS8gJ,491,false,432,2015/10/24 17:39:36
,平成27年10月23日金曜日、ラーメン二郎八王子野猿街道店2、アブラ三昧+レジェンド ニンニク少1230YEN<n>アブラの甘み利いたまろやか汁ウンメ〜ッ！<n>アブラかけごはん、炙ったプルプルアブラたまんね〜っ！玉子メッチャ合う！<n>完飲。 https://t.co/5a5LQltAEB,669,false,469,2015/10/23 20:29:26
,平成27年10月22日木曜日、ラーメン二郎 亀戸店、ラーメン+汁なし+味玉+生卵+生卵990YEN<n>タレと具材絡んだクニュ麺ウンメ〜ッ！<n>それだけでも至高なのに生卵加えたら、、、ヤバいでしょ！<n>ズルと啜って奮え1000倍ッ！<n>完飲。 https://t.co/ijpsyWdxQg,665,false,554,2015/10/22 23:06:25
